2026-09-11T21:24:59.326Z | event=landing_page_visit | ip=::1 | ua="curl/8.7.1" | ref="-" | path=/
2026-09-11T21:24:59.345Z | event=scan_page_visit | ip=::1 | ua="curl/8.7.1" | ref="-" | path=/scan
2026-09-11T21:24:59.356Z | event=scan_download_triggered | ip=::1 | ua="curl/8.7.1" | ref="-" | path=/scan/download
2026-09-11T21:26:43.189Z | event=landing_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="-" | path=/
2026-09-11T21:26:46.481Z | event=scan_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="http://localhost:3000/" | path=/scan
2026-09-11T21:26:51.092Z | event=scan_download_triggered | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="http://localhost:3000/scan" | path=/scan/download
2026-09-11T21:27:38.411Z | event=scan_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="http://localhost:3000/" | path=/scan
2026-09-11T21:27:42.758Z | event=landing_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="-" | path=/
2026-09-11T21:27:45.805Z | event=scan_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="http://localhost:3000/" | path=/scan
2026-09-11T21:27:50.239Z | event=landing_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="-" | path=/
2026-09-11T21:27:53.284Z | event=scan_page_visit | ip=::1 | ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36" | ref="http://localhost:3000/" | path=/scan
